     Value-Weight Dollar Returns      All 4 Data Items Not Reqd;;;;;;;;;;
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----;;;;;;;;;;
;Mkt;High_BE/ME;Low_BE/ME;High_E/P;Low_E/P;High_CE/P;Low_CE/P;High_D/P;Low_D/P;Zero
197501;8.48;7.74;6.95;8;6.82;5.58;7.39;6.59;9.04;4.52
197502;13.47;14.96;11.43;16.42;11.89;14.18;13.09;14.3;13.09;3.31
197503;1.81;2.95;0.46;5.19;-1.08;2.89;2.28;1.66;0.4;1.73
197504;0.55;0.67;0.01;1.11;-0.78;-0.74;2.43;-1.58;1.64;-5.34
197505;0.62;1.64;-1.13;1.05;-0.22;1.97;-1.7;2.84;-0.95;-2.56
197506;0.57;2.55;-0.7;2.32;-0.64;-0.63;2.11;-0.98;1.07;-2.75
197507;-5.23;-6.51;-4.61;-7.12;-3.88;-3.58;-6.45;-5.04;-5;-4.94
197508;-4.07;-3.58;-4.89;-3.76;-4.78;-4.41;-4.09;-4.09;-4.43;-11.18
197509;-4.4;-3.44;-3.95;-4.29;-3.49;-5.62;-5.32;-4.75;-4.37;-1.7
197510;9.67;10.65;7.81;12.18;7.1;13.26;9.8;11.46;7.23;12.68
197511;1.59;2.48;2.02;1.66;0.2;0.51;2.91;-1.06;3.05;-8.15
197512;2.04;3.07;1.03;3.31;1.23;3.18;0.54;4.6;0.47;5.61
197601;6.38;8.9;2.56;6.37;5.79;8.97;3.27;10.58;3.77;9.93
197602;1.35;2.61;0.16;1.95;1.28;3.51;0.09;2.88;0.3;0.98
197603;-0.28;-1.54;1.12;-0.72;0.34;-1.53;2.63;-3.58;1.46;2.13
197604;0.86;1.49;0.6;1.51;0.5;0.81;0.9;0.73;1.11;7.21
197605;0.38;-0.09;1.1;0.8;0.96;0.13;1.94;-1.33;2.03;2.01
197606;4.11;4.84;2.1;5.05;3.07;5.39;1.45;5.08;2.76;4.46
197607;0.03;-0.16;-0.02;0.21;-1.39;0.35;-1.05;-0.14;1.45;-1.25
197608;3.24;1.75;3.41;3.75;2.94;2.72;3.75;2.05;3.57;10.2
197609;-0.47;-0.69;-0.72;-1.03;-0.99;-0.01;-1.55;-0.35;-1.35;1.62
197610;-4.93;-6.14;-4.62;-4.31;-6.14;-5.9;-5.19;-6.77;-3;-6.42
197611;-2.87;-3.52;-2.88;-3.21;-4.02;-3.71;-3.54;-3.18;-2.58;-5.37
197612;14.53;13.26;14.81;19.51;16.18;16.05;13.96;9.1;15.52;13.3
197701;-2.52;-1.81;-3.27;-3.58;-2.76;-0.58;-3.27;-0.86;-4.71;4.95
197702;3.9;7.28;3.4;5.59;2.22;7.87;2.08;7.81;3.46;4.01
197703;-0.23;0.98;-1.49;-1.34;0.44;0.28;1.17;0.62;-2.14;2.4
197704;1.48;3.94;-0.8;1.62;2.94;5.15;0.35;4.97;-1.19;0
197705;-0.11;0.01;0.34;1.73;-0.49;-0.07;-1.06;-0.78;1.33;0.04
197706;3.19;4.38;2.12;3.84;2.98;4.42;1.42;4.12;2.83;2.4
