     Value-Weight Dollar Returns      All 4 Data Items Not Reqd;;;;;;;;;;
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----;;;;;;;;;;
;Mkt;High_BE/ME;Low_BE/ME;High_E/P;Low_E/P;High_CE/P;Low_CE/P;High_D/P;Low_D/P;Zero
197701;-3.24;-2.23;-4.14;-3.17;-2.49;-2.72;-4.75;-2.46;-5.15;-3.68
197702;-0.36;0.82;-1.67;1.76;-2.03;0.63;-0.57;1.69;0.69;-2.26
197703;0.49;1.6;-0.24;1.34;2.58;0.73;0.71;0.45;0.02;1.08
197704;-1.82;0.42;-3.55;0.25;-3.2;1.53;-4.85;0.37;-2.05;2.32
197705;-1.93;-1.19;-2.1;0.68;-5.31;1.92;-3.19;2;-2.84;-2.06
197706;4.72;4.04;4.45;5.76;2.06;3.98;3.39;5.76;3.54;8.96
197707;-0.41;0.19;-0.74;0.21;-3.38;1.12;-1.46;0.75;-0.34;1.44
197708;-3.86;-4.05;-4.66;-2.69;-4.7;-2.82;-4.42;-2.19;-3.58;-3.39
197709;0.17;-1.39;0.37;1.34;-3.23;0.61;-0.82;1.69;-0.26;2.14
197710;-6.52;-4.84;-7.68;-5.77;-8.08;-5.14;-7.64;-5.13;-5.16;-7.68
197711;6.27;5.21;7.03;5.85;2.45;5.74;6.53;6.47;6.62;16.61
197712;5.96;5.71;6.3;4.08;5.12;3.15;6.04;3.12;8.05;9.52
197801;-7.46;-4.29;-8.82;-5.84;-7.75;-5.81;-9.23;-4.2;-9.34;-8.28
197802;-0.03;0.29;-1.16;2.21;-1.91;1.52;-0.63;0.57;-1.92;0.75
197803;4.23;5.17;3.68;4.23;3.74;4.09;4.25;2.59;3.01;7.58
197804;1.61;5.04;-1.04;4.17;-0.13;5.41;-1.34;3.64;-0.36;0.42
197805;4.6;6.06;2.69;4.97;3.74;4.62;3.2;5.43;1.88;3.39
197806;-0.38;-2.65;0.91;0.23;0.69;-0.82;0.02;-0.96;1.97;0.35
197807;6.04;7.02;6.74;6.29;5.91;7.35;7.07;3.93;8.16;7.98
197808;2.16;4.43;1.21;3.44;0.59;4.21;0.57;2.48;1.31;7.51
197809;2.44;2.84;2.79;1.8;1.98;3.19;3.91;1.11;3.17;6.83
197810;-3.62;-2.13;-6.87;-1.99;-5.05;-3.25;-6.74;-0.31;-7.74;-11.04
197811;6.01;4.92;9.97;5.21;8.48;5.87;10.68;2.66;12.26;7.46
197812;2.57;3.06;2.41;2.19;1.19;3.44;2.43;1.01;2.19;10.59
197901;2;3.44;1.47;0.7;2.68;0.14;1.33;1.91;2.15;0.16
197902;3.33;1.63;4.88;1.11;4.01;1.48;5.05;1.62;4.66;13.77
197903;10.15;8.56;11.36;7.63;10.98;8.17;11.34;6.13;12.98;20.03
197904;3.13;4.91;3.8;5.49;2.12;5.67;2.76;4.86;3.04;5.84
197905;2.71;-0.72;5.68;0.45;5.25;0.6;7;-0.05;4.58;11.12
197906;7.24;3.11;8.9;4.51;8.56;3.71;8.9;1.02;7.77;10.11
197907;-4.7;-4.54;-5.05;-4.38;-5.49;-3.92;-5.98;-3.38;-5.86;-5.39
197908;10.95;11.86;8.34;12.34;12.09;10.35;9.38;7.07;16.17;1.83
197909;6.5;5.02;7.59;2.39;8.32;1.54;9.31;0.93;11.57;11.03
197910;-10.34;-12.42;-8.63;-12.29;-8.49;-10.48;-8.33;-8.83;-11.08;-6.81
197911;10.31;5.04;12.36;4.92;12.33;4.65;11.56;4.84;13.18;11.44
197912;6.36;11.98;3.26;10.09;5.04;8.9;4.91;6.66;5.92;8.05
198001;11.39;11.43;8.72;19.17;9.22;15.12;9.15;12;8.86;15.5
198002;13.64;3.57;23.78;3.3;22.35;2.4;23.36;4.43;22.03;21.65
198003;-21.61;-16.88;-25.28;-17.83;-24.9;-16.65;-25.23;-17.44;-25.5;-23.08
198004;3.66;0.7;4.77;-0.57;4.2;-0.5;3.58;2.72;4.77;10.86
198005;8.38;9.66;7.02;11.1;7.31;10.6;6.79;10.97;6.83;2.83
198006;7.51;0.61;13.73;1.13;12.72;0.11;13.01;1.53;12.15;14.95
198007;5.11;4.61;3.3;9.08;2.78;8.1;2.91;5.7;3.6;1.7
198008;-0.41;5.35;-5.08;3.91;-4.36;3.75;-4.39;3.08;-5.16;-0.23
198009;-0.69;-0.9;-2.61;2.44;-2.63;1.73;-2.04;1.61;-2.07;-7.36
198010;-3.24;0.29;-6.88;1.01;-7.49;1.35;-7.94;1.52;-6.77;-13.5
198011;4.35;5.89;1.7;7.62;1;6.62;0.86;6.27;1.17;11.73
198012;-6.37;-5.01;-7.36;-6.09;-7.59;-6.39;-7.96;-4.05;-7.96;-8.52
198101;0.59;-0.36;1.86;-1.15;0.95;0.31;1.3;0.24;-0.43;14.3
198102;-2.24;0.2;-3.97;0.07;-1.55;-0.78;-2.07;-0.13;-1.73;-3.14
198103;8.17;10.37;7.67;13.64;5.92;10.31;5.96;6;5.67;10.25
198104;-1.38;-1.96;-0.21;-2.44;-0.48;-0.84;0;-1.32;-1.41;6.46
198105;4.59;-0.09;9.96;-2.36;9.52;5.07;9.6;-2.16;9.06;16.91
198106;0.51;-2.29;2.28;-3.14;1.79;2.21;2.96;-2.07;0.13;10.48
198107;-6.24;-2.97;-6.17;-5.31;-7.26;-1.54;-7.45;-7.3;-5.55;-12.47
198108;1.36;-0.22;3.23;-2.29;2.24;4.36;2.85;1.03;4.87;-7.86
198109;-15.5;-8.82;-21.46;-9.43;-16.82;-17.61;-18.46;-6.41;-15.26;-29.1
198110;-0.35;-2.21;-0.89;-7.84;2.87;-0.11;1.73;3.26;1.99;2.25
198111;13.5;9.43;16.7;13.63;14.14;14.08;14.88;12.44;15.44;12.73
198112;-4.44;-2.59;-6.91;-3.11;-6.53;-0.5;-7.28;-2.97;-6.91;-8.29
